id,serial,imei,assetid,model,brand,manu,product,pc,state,inetip,updatetime,remarks,lastEditor
6601,5e0c07a77d2b,869114043969129,TKMB1908005R,"REDMI 6A",XIAOMI,Xiaomi,cactus,WETEST-B2-DEVICE-SERVER034,,183.14.135.220,"2021-03-16 19:42:40",,NULL
6602,7c7edaa07d24,99000972171484,TKMB190902M3,"REDMI 4X",XIAOMI,Xiaomi,santoni,WETEST-B2-DEVICE-SERVER034,,183.14.135.220,"2021-03-15 21:12:13",,NULL
6660,00008030-00160D063610802E,F17ZDM1BN6YK,TKMB190901AR,"iPhone11 Pro",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6661,00008030-001215882130802E,G0NZDC0YN73T,TKMB190901A5,iPhone11,Apple,Apple,Apple,ct-b2-mac-node-009,NULL,NULL,"2021-01-20 16:43:48",NULL,NULL
6662,00008030-000C685C3C38802E,F2LZDBTKN6YY,TKMB190901A2,iPhone11,Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6663,00008030-001E282C2160802E,F2LZDASEN6YY,TKMB1909019T,iPhone11,Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6664,00008030-000A20C402F0802E,F17ZDLU1N6YK,TKMB1909019L,iPhone11,Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6665,00008030-001265C63CD0802E,G0NZD4NHN73T,TKMB1909019J,iPhone11,Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6667,00008027-001558503422002E,DMPXQ02XKD6J,TKMB181100T0,"iPad Pro",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6668,00008020-001B446C3E98002E,C39X8KZRKPGQ,TKMB180901Y3,iPhoneXS,Apple,Apple,Apple,ct-b2-mac-node-009,NULL,NULL,"2021-01-20 16:43:48",NULL,NULL
6669,00008020-00122DEA0C08002E,C39XDRJVKPJ2,TKMB1809015F,"iPhoneXS Max",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6670,00008020-001C30481450003A,C39X9H51KPGQ,TKMB18090152,iPhoneXS,Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6671,445c9e64a4a76cc95b0e3ae41180c0beeb386bb6,F9FX2K7RJMVR,TKMB180801MF,iPad,Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6672,8004d70145aade88017003443881305053fcc665,F9FX2MMGJMVR,TKMB180801M7,iPad,Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6674,cca61b694f9b4714605b6a1afc327dbce348d49f,F17RLVQSH2XP,TKMB18070017,iPhoneSE,Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6675,95c7b4a2212a9edb5c684b2d07441a7006224d5f,FVMWP0UEHFLW,TKMB18070010,iPhone6S,Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6676,29ad17618f422af514f02b633fef4c2279c30312,FFMWQ3C0HXR6,TKMB1807000G,iPhone6,Apple,Apple,Apple,ct-b2-mac-node-009,NULL,NULL,"2021-01-20 16:43:48",NULL,NULL
6677,cf42265581c76d5e2e4c0f7d502a9eed46725715,F2LV42M8HG01,TKMB1806037J,"iPhone7 Plus",Apple,Apple,Apple,ct-b2-mac-node-010,NULL,NULL,"2021-01-20 16:43:31",NULL,NULL
6678,271fb022ff086a11072052a5d9ed36ef76e53d14,GDGX71TNJCM1,TKMB1806037F,"iPhone8 Plus",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6679,df89f27756834eca59202b953567010513bfe28e,F71W91SAHG6X,TKMB1806036A,iPhone7,Apple,Apple,Apple,ct-b2-mac-node-009,NULL,NULL,"2021-01-20 16:43:48",NULL,NULL
6680,1ff3d8929cfc9c1654a6b3f43f12080119a8796f,F9FWNADAJF8J,TKMB18060362,iPad,Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6681,21916309b0593c4306edc41e4c0c5312764cc078,DMPWQ0VHJ28K,TKMB180602NY,"iPad Pro",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6682,b100ed063f5a662e3c923aaea80ab2944e65fdb2,F9FW5548GHKL,TKMB180602NL,"iPad Mini4",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6683,fd49b14ce82af13697b1b597e9cf7e6e3a653e65,F4GWQSY8JC6D,TKMB180601GX,iPhone8,Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6684,4ec380a90186c15dba5afacaaf51e5e7be67d33c,FCDW94NJHFY0,TKMB180400R6,"iPhone7 Plus",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6685,77d6af4bca68fc9e49043c23e0bfb56ebba441d2,F2MVJ200HFM5,TKMB180400GM,"iPhone6S Plus",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6686,a51dda103d8bfa4ccf44f018a085adcfe194fe4f,F2MVJ180HFM5,TKMB180400GL,"iPhone6S Plus",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6687,3e91cebadd57f563fc97694f6bc9206c04f85f28,DLXVX0G9J263,TKMB1804008W,"iPad Pro",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6688,af0496123560031e4d10f8518af1d0ad2a2cf4c1,F9FVX1SUGHKK,TKMB18040086,"iPad Mini4",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6689,afed595cc6572e83d2d643915141b097c89ddaad,DMPW3411J28L,TKMB18040085,"iPad Pro",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6690,301280f5c7d365baf40ac5bf674deb67f45c2f7d,DNQVLCGCJCLG,TKMB1711004K,"iPhone X",Apple,Apple,Apple,ct-b2-mac-node-009,NULL,NULL,"2021-01-20 16:43:48",NULL,NULL
6691,cfc4572ed764c40b1913a1b03150566e22baad9b,DX3VD012HTVN,TKMB1709042A,"iPhone SE",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6692,6e8d28064a7e7d4ab6423c90fda923f944e77307,DX3TFG2UHTVV,TKMB17090423,"iPhone SE",Apple,Apple,Apple,ct-b2-mac-node-009,NULL,NULL,"2021-01-20 16:43:48",NULL,NULL
6693,95776aae860f8b8e06e0f2917fdfaf5572f0a24e,F2LV708EHFM5,TKMB17090422,"iPhone 6S Plus",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6694,ad070bc962a3776257528c71d1c7bccbc3fafc95,FR8TX0AVH2XW,TKMB1709040K,"iPhone SE",Apple,Apple,Apple,ct-b2-mac-node-010,NULL,NULL,"2021-01-20 16:43:31",NULL,NULL
6696,0fba4d6498fd7288a41a95def1f7392a37886ba7,F17VF40QJCM0,TKMB170903AS,"iPhone 8 Plus",Apple,Apple,Apple,ct-b2-mac-node-009,NULL,NULL,"2021-01-20 16:43:48",NULL,NULL
6697,dc51a93c8ffcfd37a71d1d6d3f076db19f422059,F4GV8999JC6F,TKMB170903AK,"iPhone 8",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6698,3aa53f3c5e8e84ba28c1747f3f87fa1426df8b33,C7CV7GW9JC6F,TKMB170903AA,"iPhone 8",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6700,cc460c091c97427595a5aa88c86f6ec5da51564e,DMPVD0ANHP9X,TKMB170903A5,iPad,Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6702,54e009b6d9f09d91e30e34aefbdab732e80595f9,DMPTXCEWJ28M,TKMB1709039F,"iPad Pro",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6703,468c570d94ba4a6b6a82fa9720a150c8c53102d5,F9FV8DFKGHKL,TKMB1709039E,"iPad mini 4",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:23",NULL,NULL
6704,6537fbf96c3dbfea3ad5c4b9db4b97e17676d505,C39T8MMJHG03,TKMB1709035S,"iPhone7 Plus",Apple,Apple,Apple,ct-b2-mac-node-010,NULL,NULL,"2021-01-20 16:43:31",NULL,NULL
6706,9c1634a217f47c7c8885382317d84a9cfc850e0f,C39T9NWNHG03,TKMB17090359,"iPhone7 Plus",Apple,Apple,Apple,ct-b2-mac-node-010,NULL,NULL,"2021-01-20 16:43:31",NULL,NULL
6707,9d2ea9365187489108162344a0ccf6f74dd93118,C39VC39VJCLY,TKMB1709030H,"iPhone 8 Plus",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:24",NULL,NULL
6708,45b758eecabfd7d7929c7801d5514587ea6df385,DMPTT0T8J28N,TKMB17060287,"iPad Pro",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:24",NULL,NULL
6709,2485bfb07a258d5bafe703e0f977eb5339d4bda0,FX6SR0D7HFY0,TKMB170402H9,"iPhone7 Plus",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-15 19:39:50",NULL,NULL
6711,788c41e8ff5ea71830fa57f75c82357ac5002cbc,DNPSHH0THG6W,TKMB16090468,iPhone7,Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-15 19:39:50",NULL,NULL
6712,1184245939cdbffa03618ae1b19ee59a76c21ae8,F17RHFG7H2XX,TKMB1604343A,"iPhone SE",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:24",NULL,NULL
6713,45f6ebc138ddf1f8b1c64a046f80099b7bcb23cf,C76QPW4RGRYD,TKMB16024054,"iPhone 6S",Apple,Apple,Apple,ct-b2-mac-node-009,NULL,NULL,"2021-01-20 16:43:48",NULL,NULL
6714,b90bf1dc928bca9f3e689bc0ec931ceba781d4d7,F4GQN3E7GRYF,TKMB15110A11,"iPhone 6S",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:24",NULL,NULL
6715,f320c37402e880c0d80db566f118f73cc35d7909,F1DPWTVLG5MP,TKMB15091366,"iPhone 6",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:24",NULL,NULL
6716,868fa0f70c01f5741c072340d91f7330f6e483b0,FK1PHGGVG5QR,TKMB15075128,"iPhone 6 Plus",Apple,Apple,Apple,wetest-A6-mac000,NULL,NULL,"2020-05-07 17:17:24",NULL,NULL
6724,IJN7S4UWL7TCS4GI,A000006836B262,TKMB1809017R,F106,GIONEE,GIONEE,F106,wetest-A6-device-server000,,114.84.62.221,"2020-06-03 16:06:00",,NULL
6725,8BNDU17803004122,866149034578813,TKMB17080228,STF-AL00,HONOR,HUAWEI,STF-AL00,WETEST-A6-DEVICE-SERVER074,,114.84.24.249,"2020-10-13 17:20:22",,NULL
6726,b1d56ab47d83,864448032171205,TKMB190902N3,"REDMI 4",XIAOMI,Xiaomi,markw,WETEST-B2-DEVICE-SERVER046,,183.14.29.85,"2021-03-16 20:05:52",,NULL
6727,TYHBBAB7C2600867,TYHBBAB7C2600867,TKMB1912026X,JDN-W09,HUAWEI,HUAWEI,JDN,WETEST-B2-DEVICE-SERVER064,,183.14.29.9,"2021-03-16 12:56:33",,NULL
6729,39c7c82,867194046249671,TKMB191100EP,"MI 6X",XIAOMI,Xiaomi,wayne,WETEST-B2-DEVICE-SERVER048,,183.14.29.195,"2021-03-17 00:21:02",,NULL
6730,7HSW8HTCWWSSRCE6,864141037811806,TKMB190902LM,"REDMI NOTE 4X",XIAOMI,Xiaomi,nikel,WETEST-B2-DEVICE-SERVER048,,183.14.135.220,"2021-03-16 22:55:30",,NULL
6731,29d5ae709805,867561037003863,TKMB1906001P,"MI A1",XIAOMI,Xiaomi,tissot,WETEST-B2-DEVICE-SERVER047,,183.14.30.185,"2021-03-09 10:20:00",,NULL
6733,050d4b250405,867085048938594,TKMB19090247,"MI A2 LITE",XIAOMI,Xiaomi,daisy,WETEST-B2-DEVICE-SERVER045,,183.14.31.221,"2020-08-23 07:07:25",,NULL
6734,1f164182,866334048227215,TKMB1909022X,"POCOPHONE F1",XIAOMI,Xiaomi,beryllium,WETEST-B2-DEVICE-SERVER045,,183.14.28.184,"2021-03-17 03:14:44",,NULL
6735,857d975c7d26,865904048518853,TKMB19090235,"REDMI 6",XIAOMI,Xiaomi,cereus,WETEST-B2-DEVICE-SERVER046,,183.14.28.47,"2021-03-13 23:45:07",,NULL
6736,b4eb6a947d94,863994037137841,TKMB19090230,"REDMI 5",XIAOMI,Xiaomi,rosy_global,WETEST-B2-DEVICE-SERVER046,,183.14.28.184,"2021-03-17 00:02:31",,NULL
6737,fe70c23e,869067030815277,TKMB191100EA,"MI 6X",XIAOMI,Xiaomi,wayne,WETEST-B2-DEVICE-SERVER046,,183.14.135.220,"2021-03-16 05:51:21",,NULL
6738,509fb276,99000872993431,TKMB190902MR,"REDMI NOTE 3",XIAOMI,Xiaomi,kenzo,WETEST-B2-DEVICE-SERVER045,,183.14.133.183,"2020-11-30 05:29:07",,NULL
6739,16a76a7c7cf4,99001011617767,TKMB190902M4,"REDMI 4X",XIAOMI,Xiaomi,santoni,WETEST-B2-DEVICE-SERVER046,,183.14.29.85,"2021-03-16 22:07:59",,NULL
6740,62d59a8c,863009047536252,TKMB19090251,"MI 8 LITE",XIAOMI,Xiaomi,platina,WETEST-B2-DEVICE-SERVER046,,183.14.134.70,"2020-09-09 13:38:08",,NULL
6741,57a61e03,862219032173331,TKMB19050XET,"LE X520",LEECO,LeMobile,Le2_CN,wetest-A6-device-server000,,114.84.58.145,"2020-05-11 21:33:11",,NULL
6743,d5fcbe75,866334045326515,TKMB19060025,"POCOPHONE F1",XIAOMI,Xiaomi,beryllium,WETEST-B2-DEVICE-SERVER047,,183.14.28.180,"2021-03-15 18:23:32",,NULL
6744,2ab82a2a0205,868137037817096,TKMB1909024L,"MI A2 LITE",XIAOMI,Xiaomi,daisy,WETEST-B2-DEVICE-SERVER045,,183.14.29.82,"2021-03-16 23:58:29",,NULL
6746,5d5df83c0005,99001182955715,TKMB190902LN,"REDMI 5 PLUS",XIAOMI,Xiaomi,vince,WETEST-B2-DEVICE-SERVER046,,183.14.28.199,"2021-03-16 07:59:24",,NULL
6747,d5a168e30605,868706035147712,TKMB19090233,"REDMI 6 PRO",XIAOMI,Xiaomi,sakura_india,WETEST-B2-DEVICE-SERVER045,,183.14.29.195,"2021-03-17 00:31:08",,NULL
6749,1ef4c0c4,99000709412126,TKMB190902ME,"REDMI NOTE 3",XIAOMI,Xiaomi,kenzo,WETEST-B2-DEVICE-SERVER045,,183.14.29.74,"2021-03-17 00:03:46",,NULL
6750,9c18a8da7d27,864849043461826,TKMB1908004J,"REDMI 6",XIAOMI,Xiaomi,cereus,WETEST-B2-DEVICE-SERVER048,,183.14.28.146,"2021-02-22 16:08:00",,NULL
6751,d3f7dade,865723034365503,TKMB181204X2,"REDMI NOTE 5A",XIAOMI,Xiaomi,ugg,wetest-b2-device-server000,,183.14.28.79,"2021-03-16 16:05:30",,NULL
6752,75b48ee,868931037658629,TKMB191100EJ,"REDMI NOTE 6 PRO",XIAOMI,Xiaomi,tulip,WETEST-B2-DEVICE-SERVER046,,183.14.28.199,"2021-03-16 20:04:45",,NULL
6754,VMT6R18811008148,867555031619138,TKMB191207GM,D-02K,DTAB,HUAWEI,HDL-L0J,WETEST-B2-DEVICE-SERVER046,,183.14.135.220,"2021-03-16 21:46:04",,NULL
6755,VMT6R18804013207,867555031250637,TKMB191207GL,D-02K,DTAB,HUAWEI,HDL-L0J,WETEST-B2-DEVICE-SERVER031,,183.14.29.85,"2021-03-16 14:38:17",,NULL
6756,28a45714233f7ece,357840090790492,TKMB191207TT,SC-01L,SAMSUNG,samsung,SC-01L,WETEST-B2-DEVICE-SERVER045,,183.14.30.213,"2020-12-26 00:49:46",,NULL
6758,9740ddb,865733048517791,TKMB19080051,"REDMI NOTE 6 PRO",XIAOMI,Xiaomi,tulip,WETEST-B2-DEVICE-SERVER029,,183.14.133.135,"2020-06-24 05:49:05",,NULL
6759,4e7b4478,861250045002515,TKMB19050M0M,"REDMI NOTE 6 PRO",XIAOMI,Xiaomi,tulip,WETEST-B2-DEVICE-SERVER045,,183.14.28.199,"2021-03-16 01:45:28",,NULL
6760,547c97ee7d27,868672034401247,TKMB19050M0F,"REDMI 6",XIAOMI,Xiaomi,cereus,WETEST-B2-DEVICE-SERVER048,,183.14.134.209,"2021-03-13 10:15:24",,NULL
6761,RWQGH6FIS4J7WCA6,865376034137800,TKMB190902LL,"REDMI NOTE 4X",XIAOMI,Xiaomi,nikel,WETEST-B2-DEVICE-SERVER073,,183.14.28.240,"2021-03-04 15:20:23",,NULL
6765,XTX7N18807007129,869743032685005,TKMB1912022T,COR-L29,HONOR,HUAWEI,COR-L29,WETEST-B2-DEVICE-SERVER047,,183.14.133.112,"2021-02-25 16:58:02",,NULL
6766,789296b8,359215097545827,TKMB1912022E,SM-J810M,SAMSUNG,samsung,j8y18lteub,WETEST-B2-DEVICE-SERVER038,,183.14.29.85,"2021-03-16 16:52:54",,NULL
6767,HBEDU18510002881,869012030717206,TKMB1912022P,FIG-LX1,HUAWEI,HUAWEI,FIG-LX1,WETEST-B2-DEVICE-SERVER073,,183.14.28.180,"2021-03-16 15:14:25",,NULL
6768,XTX7N18807004612,869743032652336,TKMB1912022A,COR-L29,HONOR,HUAWEI,COR-L29,WETEST-B2-DEVICE-SERVER047,,183.14.29.74,"2021-03-16 10:57:50",,NULL
6775,42002925d3cda4ef,352623098518668,TKMB191002FF,SM-G532M,SAMSUNG,samsung,grandpplteub,WETEST-B2-DEVICE-SERVER050,,183.14.30.74,"2021-03-17 09:56:48",,NULL
6777,f068fb1d,866280040213069,TKMB1905093E,NX629J,NUBIA,nubia,NX629J,WETEST-A6-DEVICE-SERVER022,,114.84.29.71,"2020-07-17 11:44:41",,NULL
6781,f3f4aa56,866702039261890,TKMB1801047E,"OPPO R11S PLUS",OPPO,OPPO,R11sPlus,WETEST-KX-DEVICE-SERVER023,,183.14.31.166,"2020-11-08 11:21:38",,NULL
6782,f8136d7a,869439046885539,TKMB191201F9,V1832A,VIVO,vivo,PD1832,wetest-b2-device-server000,,116.233.200.95,"2020-06-04 11:37:46",,NULL
6783,yp4tv855onp7qshu,860956044051029,TKMB200302E3,"REDMI NOTE 8 PRO",REDMI,Xiaomi,begonia,wetest-b2-device-server000,,116.231.30.50,"2020-06-04 11:37:46",,NULL
6784,6395168f0405,869044039582315,TKMB191201TG,"REDMI 6 PRO",XIAOMI,Xiaomi,sakura,wetest-b2-device-server000,,116.233.206.217,"2020-06-04 11:37:46",,NULL
6785,NDYDU19826015155,860843049669445,TKMB191201PN,YAL-AL50,HONOR,HUAWEI,YAL-AL50,wetest-b2-device-server000,,114.84.62.45,"2020-06-04 11:37:46",,NULL
6786,2KE0220114020467,864013049684630,TKMB20040055,LIO-AN00,HUAWEI,HUAWEI,LIO-AN00,wetest-b2-device-server000,,116.233.206.217,"2020-06-04 11:37:46",,NULL
6787,SODU4PMN99999999,862814032585359,TKMB191201T8,"OPPO A59M",OPPO,OPPO,A59m,wetest-b2-device-server000,,114.84.62.45,"2020-06-04 11:37:46",,NULL
6788,3EP0219510002071,868906044071016,TKMB191206XW,LYA-AL00,HUAWEI,HUAWEI,LYA-AL00,wetest-b2-device-server000,,183.14.31.152,"2020-06-04 11:37:46",,NULL
6789,79UDU19926013746,865364044228736,TKMB200302L9,HRY-AL00A,HONOR,HUAWEI,HRY-AL00a,wetest-b2-device-server000,,114.84.62.220,"2020-06-04 11:37:46",,NULL
6790,MQS0219904006249,865277048719718,TKMB19120696,VOG-AL00,HUAWEI,HUAWEI,VOG-AL00,wetest-b2-device-server000,,183.14.30.206,"2020-06-15 17:44:04",,NULL
6791,1214ea09,867559044011697,TKMB200400NF,PCAM00,OPPO,OPPO,PCAM00,wetest-b2-device-server000,,114.84.62.220,"2020-06-04 11:37:46",,NULL
6792,MVZLQWHQ99999999,865936034460989,TKMB191206M3,"VIVO Y67L",VIVO,vivo,PD1612,wetest-b2-device-server000,,114.84.29.67,"2020-06-04 11:37:46",,NULL
6793,e9a75265,869811036079663,TKMB1912068L,"MIX 3",XIAOMI,Xiaomi,perseus,wetest-b2-device-server000,,114.84.58.147,"2020-06-04 11:37:46",,NULL
6794,e7037bd6,869499037824319,TKMB191201T9,"VIVO NEX A",VIVO,vivo,PD1806,wetest-b2-device-server000,,116.231.38.187,"2020-06-04 11:37:46",,NULL
6795,Q47HHMZPS4YL6DNF,866984044516696,TKMB200101GM,PCKM80,OPPO,OPPO,PCKM80,wetest-b2-device-server000,,114.84.58.147,"2020-06-04 11:37:46",,NULL
6796,14febc37,865883042146772,TKMB20010026,"MI 9 TRANSPARENT EDITION",XIAOMI,Xiaomi,cepheus,wetest-b2-device-server000,,114.84.29.64,"2020-06-04 11:37:46",,NULL
6798,2952b4a7,865575033688412,TKMB2004007X,"VIVO X9PLUS L",VIVO,vivo,PD1619,wetest-b2-device-server000,,114.84.29.64,"2020-06-04 11:37:46",,NULL
6799,5eebdec9,866184038225772,TKMB1912072L,"OPPO A57",OPPO,OPPO,A57,wetest-b2-device-server000,,114.84.62.220,"2020-06-04 11:37:46",,NULL
6800,a5390c9,869041041279294,TKMB20040060,"MI 8 LITE",XIAOMI,Xiaomi,platina,wetest-b2-device-server000,,114.84.62.216,"2020-06-04 11:37:46",,NULL
6801,f160dec2,869400042315541,TKMB2004006F,"REDMI NOTE 7 PRO",XIAOMI,Xiaomi,violet,wetest-b2-device-server000,,114.84.29.71,"2020-06-04 11:37:46",,NULL
6803,QGB6U88T99999999,867365039333678,TKMB1911016M,"VIVO Y67A",VIVO,vivo,PD1612,wetest-b2-device-server000,,116.233.205.184,"2020-06-04 11:37:46",,NULL
6804,1809d46c,866697030603159,TKMB200101Y6,"VIVO Y66",VIVO,vivo,PD1621,wetest-b2-device-server000,,114.84.62.222,"2020-06-04 11:37:46",,NULL
6805,9HNBVSS8RW65IFCM,868013047765890,TKMB200101PR,"VIVO Y83A",VIVO,vivo,PD1803,wetest-b2-device-server000,,116.233.191.166,"2020-06-04 11:37:46",,NULL
6806,830b37e5,868859046435632,TKMB191201GL,"VIVO NEX A",VIVO,vivo,PD1806B,wetest-b2-device-server000,,114.84.62.221,"2020-06-04 11:37:46",,NULL
6807,FMGNW19909007998,867385048123035,TKMB20040076,HRY-AL00TA,HONOR,HUAWEI,HRY-AL00Ta,wetest-b2-device-server000,,114.84.29.71,"2020-06-04 11:37:46",,NULL
6809,46HDU19929001810,867377045494683,TKMB191201PE,PCT-AL10,HONOR,HUAWEI,PCT-AL10,wetest-b2-device-server000,,114.84.29.71,"2020-06-04 11:37:46",,NULL
6811,466397570404,866412033396763,TKMB191207WP,"MI 5X",XIAOMI,Xiaomi,tiffany,wetest-b2-device-server000,,114.84.62.220,"2020-06-04 11:37:46",,NULL
6812,JR4LPR8LS8HYRGCQ,866615031463977,TKMB191206M1,"OPPO A73",OPPO,OPPO,A73,wetest-b2-device-server000,,114.84.57.163,"2020-06-04 11:37:46",,NULL
6814,9295f4b4,862022032673858,TKMB191201N2,"OPPO R9 PLUSM A",OPPO,OPPO,R9PlusmA,wetest-b2-device-server000,,116.233.200.95,"2020-06-04 11:37:46",,NULL
6815,35714a480904,868241034068040,TKMB20040083,"REDMI 5 PLUS",XIAOMI,Xiaomi,vince,wetest-b2-device-server000,,114.84.29.71,"2020-06-04 11:37:46",,NULL
6816,PFORCISKPF4SZPVO,863322046861690,TKMB200302M2,PCDM10,OPPO,OPPO,PCDM10,wetest-b2-device-server000,,116.233.206.217,"2020-06-04 11:37:46",,NULL
6817,ec413c46,863078044535393,TKMB191201AW,V1821A,VIVO,vivo,PD1821,wetest-b2-device-server000,,116.231.30.50,"2020-06-04 11:37:46",,NULL
6818,9be66c0d,861427043382871,TKMB2003038Y,PCKM00,OPPO,OPPO,PCKM00,wetest-b2-device-server000,,114.84.62.45,"2020-06-04 11:37:46",,NULL
6819,UCPVZPQOAE7HZLRO,869753036743650,TKMB191206M5,"OPPO A83",OPPO,OPPO,A83,wetest-b2-device-server000,,183.14.132.44,"2020-07-14 18:01:29",,NULL
6821,749c98647d04,867308034482934,TKMB18030213,"REDMI 4X",XIAOMI,Xiaomi,santoni,WETEST-B2-DEVICE-SERVER013,,183.14.29.93,"2021-01-13 15:54:52",,NULL
6823,BE8H9LV499999999,863671031881711,TKMB200200J8,"OPPO A37M",OPPO,OPPO,A37m,wetest-b2-device-server000,,114.84.29.70,"2020-06-04 11:37:46",,NULL
6824,9ec16316,null,TKMB2003037N,PDEM30,OPPO,OPPO,PDEM30,WETEST-B2-DEVICE-SERVER018,,183.14.30.59,"2020-12-31 15:32:58",,NULL
6825,GYH9X20417X04255,GYH9X20417X04255,TKMB200405AP,SCM-W09,HUAWEI,HUAWEI,SCM-W09,WETEST-A6-DEVICE-SERVER076,,116.233.186.195,"2021-03-16 05:58:04",,NULL
6826,HQL6R19626000254,HQL6R19626000254,TKMB200405R3,CMR-W19,HUAWEI,HUAWEI,CMR-W19,WETEST-A6-DEVICE-SERVER053,,116.232.108.84,"2021-03-17 06:10:00",,NULL
6827,WRU6R20410003765,unknown,TKMB200405R8,MRX-W09,HUAWEI,HUAWEI,MRX-W09,WETEST-A6-DEVICE-SERVER045,,116.233.185.247,"2021-03-16 02:42:01",,NULL
6831,4c4bd4f9,866549041588434,TKMB191201EJ,V1730EA,VIVO,vivo,PD1730E,wetest-b2-device-server000,,114.84.29.64,"2020-06-04 11:37:46",,NULL
6832,ad13c11e,869747042958757,TKMB200302JN,PCGM00,OPPO,OPPO,PCGM00,wetest-b2-device-server000,,114.84.62.221,"2020-06-04 11:37:46",,NULL
6833,efdb5109,null,TKMB20040002,PDEM10,OPPO,OPPO,PDEM10,WETEST-B2-DEVICE-SERVER025,,183.14.29.74,"2021-03-15 12:20:06",,NULL
6834,5d7935af,null,TKMB2004003N,PDEM10,OPPO,OPPO,PDEM10,WETEST-B2-DEVICE-SERVER012,,183.14.133.129,"2020-06-16 11:21:28",,NULL
6835,de5019ec,null,TKMB20040003,PDEM10,OPPO,OPPO,PDEM10,WETEST-B2-DEVICE-SERVER012,,183.14.28.203,"2020-08-16 11:54:22",,NULL
6836,a4ee71fb,null,TKMB2004004L,PDEM30,OPPO,OPPO,PDEM30,WETEST-B2-DEVICE-SERVER021,,183.14.29.9,"2021-03-15 11:24:46",,NULL
6838,Z57SYLEATKO7DEUW,869369032440827,TKMB200302GY,PADT00,OPPO,OPPO,PADT00,wetest-b2-device-server000,,114.84.29.64,"2020-06-04 11:37:46",,NULL
